anime_id,name,genre,type,rating,image_url
102,Aishiteruze Baby★★,"Comedy, Drama, Romance",TV,7.43,https://cdn.myanimelist.net/images/anime/2/69665.jpg
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Romance",TV,7.41,https://cdn.myanimelist.net/images/anime/1098/108972.jpg
104,Ayashi no Ceres,"Adventure, Drama, Horror, Romance, Supernatural",TV,7.17,https://cdn.myanimelist.net/images/anime/1287/134408.jpg
105,Boys Be...,"Comedy, Romance",TV,6.38,https://cdn.myanimelist.net/images/anime/1/2223.jpg
106,Hana yori Dango,"Drama, Romance",TV,7.56,https://cdn.myanimelist.net/images/anime/2/42871.jpg
107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi",TV,7.17,https://cdn.myanimelist.net/images/anime/1961/92115.jpg
108,Ou Dorobou Jing in Seventh Heaven,"Adventure, Comedy, Fantasy",OVA,7.23,https://cdn.myanimelist.net/images/anime/1304/140180.jpg
109,Bakuretsu Tenshi,"Adventure, Sci-Fi",TV,6.77,https://cdn.myanimelist.net/images/anime/10/22647.jpg
110,Chuuka Ichiban!,"Action, Comedy, Drama, Gourmet",TV,7.59,https://cdn.myanimelist.net/images/anime/6/75283.jpg
111,Corrector Yui,"Adventure, Comedy, Sci-Fi",TV,6.86,https://cdn.myanimelist.net/images/anime/1696/105659.jpg
113,Uchuu no Stellvia,"Romance, Sci-Fi",TV,7.32,https://cdn.myanimelist.net/images/anime/1587/134660.jpg
114,Sakigake!! Cromartie Koukou,Comedy,TV,7.88,https://cdn.myanimelist.net/images/anime/1782/130913.jpg
115,Ijigen no Sekai El-Hazard,"Adventure, Comedy, Fantasy",TV,6.77,https://cdn.myanimelist.net/images/anime/1843/139490.jpg
117,Shinpi no Sekai El-Hazard,"Adventure, Comedy, Fantasy, Romance",OVA,7.24,https://cdn.myanimelist.net/images/anime/1893/128632.jpg
118,Shinpi no Sekai El-Hazard Season 2,"Adventure, Comedy, Fantasy",OVA,6.76,https://cdn.myanimelist.net/images/anime/11/2796.jpg
119,Final Approach,"Comedy, Drama, Romance",TV,6.5,https://cdn.myanimelist.net/images/anime/11/14607.jpg
120,Fruits Basket,"Drama, Romance, Supernatural",TV,7.69,https://cdn.myanimelist.net/images/anime/4/75204.jpg
121,Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy",TV,8.11,https://cdn.myanimelist.net/images/anime/10/75815.jpg
122,Full Moon wo Sagashite,"Comedy, Drama, Romance, Supernatural",TV,7.93,https://cdn.myanimelist.net/images/anime/1900/99154.jpg
123,Fushigi Yuugi,"Action, Adventure, Fantasy, Romance",TV,7.6,https://cdn.myanimelist.net/images/anime/2/20140.jpg
124,Fushigi Yuugi: Eikouden,"Adventure, Drama, Fantasy, Romance",OVA,6.78,https://cdn.myanimelist.net/images/anime/11/67701.jpg
125,Futakoi,"Comedy, Romance",TV,6.41,https://cdn.myanimelist.net/images/anime/1498/145934.jpg
126,Futakoi Alternative,"Comedy, Drama, Romance",TV,6.83,https://cdn.myanimelist.net/images/anime/6/16733.jpg
127,Gate Keepers,"Comedy, Fantasy, Sci-Fi",TV,6.9,https://cdn.myanimelist.net/images/anime/12/15226.jpg
